Date,SM001012,SM002012,SM003012,SM005008,SM006008,SM007008,SM008008,SM010004,SM011004,SM012004,SM013004
03/31/2015,,,10.9393,,,,,,,,
05/15/2015,,,11.0306,,,,,,,,
10/04/2015,,,11.2907,,,,,,,,
12/20/2015,,,10.733,,,,,,,,
01/30/2016,,,10.1434,,,,,,,,
02/27/2016,,,10.1943,,,,,,,,
10/10/2016,10.0000,10.0000,10.0000,10.0000,10.0000,,10.0000,,,,
10/11/2016,10,,,,,,,,,,
10/12/2016,10,,,,,,,,,,
10/13/2016,10.0000,10.0000,10.0000,10.0000,10.0000,,10.0000,,,,
10/14/2016,10.0000,10.0000,10.0000,10.0000,10.0000,,10.0000,,,,
10/15/2016,10,10.0000,,10,,,,,,,
10/16/2016,10,10.0000,,10,,,,,,,
10/17/2016,10.0000,10.0000,10.0000,10.0000,10.0000,,10.0000,,,,
10/18/2016,10.0000,10.0000,10.0000,10.0000,10.0000,,10.0000,,,,
10/19/2016,10.0000,10.0000,10.0000,10.0000,10.0000,,10.0000,,,,
10/20/2016,10.0000,10.0000,10.0000,10.0000,10.0000,,10.0000,,,,
10/21/2016,10.0000,10.0000,10.0000,10.0000,10.0000,,10.0000,,,,
10/22/2016,10,10.0000,,10,,,,,,,
10/23/2016,10,10.0000,,10,,,,,,,
10/24/2016,10.0056,10.0000,10.0000,10.0000,10.0000,,10.0053,,,,
10/25/2016,10.0072,10.0000,10.0000,10.0000,10.0000,,10.0065,,,,
10/26/2016,10.0089,10.0000,10.0000,10.0000,10.0000,,10.0084,,,,
10/27/2016,10.0107,10.0016,10.0000,10.0000,10.0000,,10.0101,,,,
10/28/2016,10.0125,10.0032,10.0000,10.0000,10.0000,,10.0115,,,,
10/29/2016,10.0125,10.0052,,10,,,,,,,
10/30/2016,10.0125,10.0070,,10,,,,,,,
10/31/2016,10.0125,10.0090,,10,,,,,,,
11/01/2016,10.0195,10.0109,10.0000,10.0000,10.0000,,10.0176,,,,
11/02/2016,10.0212,10.0129,10.0000,10.0000,10.0000,,10.0191,,,,
11/03/2016,10.0230,10.0144,10.0000,10.0000,10.0000,,10.0209,,,,
11/04/2016,10.0248,10.0149,10,10,,,10.0228,,,,
11/05/2016,10.0248,10.0168,,10,,,,,,,
11/06/2016,10.0248,10.0186,,10,,,,,,,
11/07/2016,10.0298,10.0202,10.0000,10.0000,10.0000,,10.0282,,,,
11/08/2016,10.0314,10.0217,10.0000,10.0000,10.0000,,10.0301,,,,
11/09/2016,10.0331,10.0228,,10,,,,,,,
11/10/2016,10.0351,10.0239,10.0000,10.0000,10.0000,,10.0333,,,,
11/11/2016,10.0370,10.0261,10.0020,10.0000,10.0000,,10.0348,,,,
11/12/2016,10.037,10.0281,,10,,,,,,,
11/13/2016,10.037,10.0299,,10,,,,,,,
11/14/2016,10.037,10.0318,,10,,,,,,,
11/15/2016,10.0443,10.0337,10.0092,10.0000,10.0000,,10.0405,,,,
11/16/2016,10.0465,10.0368,10.0112,10.0000,10.0000,,10.0420,,,,
11/17/2016,10.0485,10.0393,10.0132,10.0000,10.0000,,10.0439,,,,
11/18/2016,10.0503,10.0410,10.0150,10.0000,10.0000,10.0000,10.0459,,,,
11/19/2016,10.0503,10.0448,,10,,,,,,,
11/20/2016,10.0503,10.0465,,10,,,,,,,
11/21/2016,10.0558,10.0466,10.0205,10.0000,10.0000,10.0000,10.0513,,,,
11/22/2016,10.0578,10.0490,10.0223,10.0000,10.0000,10.0030,10.0533,,,,
11/23/2016,10.0597,10.0512,10.0243,10.0000,10.0000,10.0050,10.0553,,,,
11/24/2016,10.0617,10.0533,10.0243,10.0000,10.0000,10.0072,10.0570,,,,
11/25/2016,10.0639,10.0551,10.0280,10.0000,10.0000,10.0096,10.0589,,,,
11/26/2016,10.0639,10.0569,,10,,,,,,,
11/27/2016,10.0639,10.0587,,10,,,,,,,
11/28/2016,10.0694,10.0607,10.0327,10.0038,10.0000,10.0146,10.0639,,,,
11/29/2016,10.0709,10.0620,10.0343,10.0051,10.0000,10.0161,10.0650,,,,
11/30/2016,10.0729,10.0632,10.0361,10.0070,10.0000,10.0179,10.0672,,,,
12/01/2016,10.0747,10.0651,10.0378,10.0088,10.0000,10.0197,10.0691,,,,
12/02/2016,10.0766,10.0667,10.0396,10.0097,10.0000,10.0215,10.0709,,,,
12/03/2016,10.0766,10.0680,,10.0097,,,,,,,
12/04/2016,10.0766,10.0697,,10.0097,,,,,,,
12/05/2016,10.0817,10.0715,10.0448,10.0145,10.0000,10.0265,10.0758,,,,
12/06/2016,10.0837,10.0736,10.0465,10.0162,10.0000,10.0283,10.0776,,,,
12/07/2016,10.0856,10.0752,10.0484,10.0179,10.0000,10.0301,10.0793,,,,
12/08/2016,10.0858,10.0756,10.0493,10.0182,10.0000,10.0307,10.0797,,,,
12/09/2016,10.0875,10.0773,10.0504,10.0198,10.0000,10.0325,10.0815,,,,
12/10/2016,10.0875,10.0792,,10.0198,,,,,,,
12/11/2016,10.0875,10.0810,,10.0198,,,,,,,
12/12/2016,10.0875,10.0827,,10.0198,,,,,,,
12/13/2016,10.0945,10.0845,10.0577,10.0251,10.0071,10.0397,10.0888,,,,
12/14/2016,10.0964,10.0864,10.0595,10.0269,10.0084,10.0416,10.0905,,,,
12/15/2016,10.0982,10.0883,10.0612,10.0283,10.0099,10.0434,10.0923,,,,
12/16/2016,10.1000,10.0902,10.0632,10.0300,10.0112,10.0453,10.0941,,,,
12/17/2016,10.1,10.0919,,10.03,,,,,,,
12/18/2016,10.1,10.0937,,10.03,,,,,,,
12/19/2016,10.1054,10.0955,10.0683,10.0349,10.0151,10.0504,10.0996,,,,
12/20/2016,10.1072,10.0974,10.0700,10.0365,10.0164,10.0522,10.1013,,,,
12/21/2016,10.1089,10.0991,10.0717,10.0388,10.0181,10.0539,10.1031,,,,
12/22/2016,10.1107,10.1009,10.0735,10.0405,10.0197,10.0557,10.1049,,,,
12/23/2016,10.1124,10.1026,10.0753,10.0424,10.0213,10.0574,10.1067,,,,
12/24/2016,10.1124,10.1043,,10.0424,,,,,,,
12/25/2016,10.1124,10.1061,,10.0423,,,,,,,
12/26/2016,10.1178,10.1080,10.0805,10.0476,10.0261,10.0629,10.1118,,,,
12/27/2016,10.1195,10.1098,10.0823,10.0493,10.0277,10.0646,10.1135,,,,
12/28/2016,10.1213,10.1117,10.0840,10.0510,10.0292,10.0664,10.1153,,,,
12/29/2016,10.1231,10.1133,10.0858,10.0528,10.0308,10.0682,10.1171,,,,
12/30/2016,10.1250,10.1152,10.0876,10.0547,10.0324,10.0700,10.1188,,,,
12/31/2016,10.1249,10.1172,,10.0547,,,,,,,
01/01/2017,10.1249,10.1191,,10.0547,,,,,,,
01/02/2017,10.1307,10.1209,10.0931,10.0606,10.0381,10.0758,10.1250,,,,
01/03/2017,10.1325,10.1229,10.0950,10.0627,10.0400,10.0776,10.1270,,,,
01/04/2017,10.1343,10.1248,10.0970,10.0643,10.0415,10.0795,10.1290,,,,
01/05/2017,10.1361,10.1267,10.0987,10.0661,10.0432,10.0813,10.1307,,,,
01/06/2017,10.1379,10.1286,10.1004,10.0678,10.0449,10.0830,10.1325,,,,
01/07/2017,10.1379,10.1305,,10.0678,,,,,,,
01/08/2017,10.1379,10.1323,,10.0678,,,,,,,
01/09/2017,10.1435,10.1342,10.1058,10.0728,10.0500,10.0886,10.1380,,,,
01/10/2017,10.1453,10.1360,10.1075,10.0745,10.0516,10.0903,10.1397,,,,
01/11/2017,10.1471,10.1378,10.1092,10.0762,10.0532,10.0920,10.1414,,,,
01/12/2017,10.1489,10.1396,10.1110,10.0777,10.0549,10.0938,10.1432,,,,
01/13/2017,10.1507,10.1413,10.1128,10.0794,10.0566,10.0956,10.1450,,,,
01/14/2017,10.1507,10.1431,,10.0794,,,,,,,
01/15/2017,10.1507,10.1449,,10.0794,,,,,,,
01/16/2017,10.1562,10.1466,10.1182,10.0846,10.0620,10.1009,10.1504,,,,
01/17/2017,10.1580,10.1484,10.1198,10.0864,10.0638,10.1027,10.1522,,,,
01/18/2017,10.1599,10.1502,10.1216,10.0881,10.0655,10.1045,10.1540,,,,
01/19/2017,10.1617,10.1520,10.1234,10.0899,10.0673,10.1063,10.1558,,,,
01/20/2017,10.1635,10.1538,10.1252,10.0916,10.0690,10.1081,10.1576,,,,
01/21/2017,10.1635,10.1556,,10.0916,,,,,,,
01/22/2017,10.1635,10.1575,,10.0916,,,,,,,
01/23/2017,10.1691,10.1592,10.1306,10.0970,10.0742,10.1137,10.1628,,,,
01/24/2017,10.1710,10.1610,10.1324,10.0987,10.0760,10.1155,10.1647,,,,
01/25/2017,10.1728,10.1628,10.1342,10.1004,10.0778,10.1172,10.1665,,,,
01/26/2017,10.1728,10.1645,,10.1004,,,,,,,
01/27/2017,10.1765,10.1663,10.1378,10.1040,10.0814,10.1208,10.1703,,,,
01/28/2017,10.1765,10.1681,,10.1040,,,,,,,
01/29/2017,10.1765,10.1699,,10.1040,,,,,,,
01/30/2017,10.1821,10.1718,10.1434,10.1094,10.0865,10.1263,10.1756,,,,
01/31/2017,10.1840,10.1736,10.1452,10.1113,10.0883,10.1282,10.1775,,,,
02/01/2017,10.1859,10.1755,10.1470,10.1130,10.0901,10.1300,10.1793,,,,
02/02/2017,10.1878,10.1773,10.1489,10.1148,10.0920,10.1319,10.1813,,,,
02/03/2017,10.1896,10.1791,10.1508,10.1167,10.0937,10.1337,10.1831,,,,
02/04/2017,10.1896,10.1811,,10.1167,,,,,,,
02/05/2017,10.1896,10.1829,,10.1167,,,,,,,
02/06/2017,10.1952,10.1848,10.1562,10.1220,10.0986,10.1391,10.1884,,,,
02/07/2017,10.1971,10.1866,10.1580,10.1239,10.1003,10.1409,10.1903,,,,
02/08/2017,10.1990,10.1884,10.1599,10.1257,10.1021,10.1428,10.1921,,,,
02/09/2017,10.2005,10.1902,10.1614,10.1272,10.1036,10.1445,10.1938,,,,
02/10/2017,10.2023,10.1919,10.1632,10.1289,10.1054,10.1462,10.1956,,,,
02/11/2017,10.2023,10.1938,,10.1289,,,,,,,
02/12/2017,10.2023,10.1956,,10.1289,,,,,,,
02/13/2017,10.2080,10.1974,10.1687,10.1343,10.1108,10.1516,10.2011,,,,
02/14/2017,10.2099,10.1993,10.1706,10.1361,10.1126,10.1535,10.2029,,,,
02/15/2017,10.2118,10.2012,10.1725,10.1379,10.1144,10.1553,10.2048,,,,
02/16/2017,10.2136,10.2030,10.1743,10.1398,10.1162,10.1571,10.2067,,,,
02/17/2017,10.2154,10.2048,10.1760,10.1415,10.1180,10.1589,10.2085,,,,
02/18/2017,10.2154,10.2067,,10.1415,,,,,,,
02/19/2017,10.2154,10.2085,,10.1415,,,,,,,
02/20/2017,10.2211,10.2104,10.1813,10.1471,10.1234,10.1644,10.2140,,,,
02/21/2017,10.2211,10.2123,,10.1471,,,,,,,
02/22/2017,10.2248,10.2141,10.1850,10.1506,10.1269,10.1683,10.2176,,,,
02/23/2017,10.2267,10.2159,10.1869,10.1524,10.1289,10.1701,10.2196,,,,
02/24/2017,10.2267,10.2179,,10.1524,,,,,,,
02/25/2017,10.2267,10.2197,,10.1524,,,,,,,
02/26/2017,10.2267,10.2215,,10.1524,,,,,,,
02/27/2017,10.2342,10.2233,10.1943,10.1595,10.1360,10.1772,10.2268,,,,
02/28/2017,10.2361,10.2252,10.1962,10.1615,10.1378,10.1791,10.2287,,,,
03/01/2017,10.2380,10.2272,10.1980,10.1634,10.1397,10.1809,10.2306,,,,
03/02/2017,10.2398,10.2289,10.1999,10.1652,10.1415,10.1828,10.2324,,,,
03/03/2017,10.2417,10.2307,10.2017,10.1669,10.1433,10.1846,10.2342,,,,
03/04/2017,10.2416,10.2325,,10.1669,,,,,,,
03/05/2017,10.2416,10.2343,,10.1669,,,,,,,
03/06/2017,10.2473,10.2360,10.2063,10.1722,10.1488,10.1901,10.2399,,,,
03/07/2017,10.2490,10.2378,10.2080,10.1739,10.1507,10.1918,10.2416,,,,
03/08/2017,10.2508,10.2397,10.2098,10.1756,10.1527,10.1936,10.2434,,,,
03/09/2017,10.2526,10.2415,10.2115,10.1774,10.1545,10.1954,10.2452,,,,
03/10/2017,10.2545,10.2433,10.2132,10.1792,10.1563,10.1971,10.2471,,,,
03/11/2017,10.2545,10.2452,,10.1792,,,,,,,
03/12/2017,10.2545,10.2470,,10.1792,,,,,,,
03/13/2017,10.2545,10.2488,,10.1791,,,,,,,
03/14/2017,10.2621,10.2506,10.2198,10.1864,10.1632,10.2044,10.2541,,,,
03/15/2017,10.2640,10.2526,10.2218,10.1882,10.1651,10.2062,10.2560,,,,
03/16/2017,10.2659,10.2545,10.2236,10.1901,10.1670,10.2080,10.2580,,,,
03/17/2017,10.2677,10.2564,10.2255,10.1919,10.1689,10.2099,10.2599,,,,
03/18/2017,10.2677,10.2584,,10.1919,,,,,,,
03/19/2017,10.2677,10.2605,,10.1919,,,,,,,
03/20/2017,10.2737,10.2625,10.2310,10.1974,10.1743,10.2153,10.2655,,,,
03/21/2017,10.2756,10.2645,10.2328,10.1993,10.1762,10.2171,10.2673,,,,
03/22/2017,10.2776,10.2664,10.2348,10.2014,10.1780,10.2190,10.2692,,,,
03/23/2017,10.2795,10.2683,10.2367,10.2032,10.1800,10.2209,10.2712,,,,
03/24/2017,10.2814,10.2703,10.2385,10.2050,10.1818,10.2227,10.2730,,,,
03/25/2017,10.2814,10.2719,,10.2050,,,,,,,
03/26/2017,10.2814,10.2737,,10.2050,,,,,,,
03/27/2017,10.2871,10.2755,10.2437,10.2103,10.1870,10.2282,10.2783,,,,
03/28/2017,10.2871,10.2775,,10.2103,,,,,,,
03/29/2017,10.2908,10.2793,10.2472,10.2139,10.1905,10.2319,10.2818,,,,
03/30/2017,10.2926,10.2812,10.2489,10.2158,10.1921,10.2336,10.2834,,,,
03/31/2017,10.2946,10.2832,10.2511,10.2177,10.1939,10.2355,10.2853,,,,
04/01/2017,10.2946,10.2859,,10.2177,,,,,,,
04/02/2017,10.2945,10.2879,,10.2177,,,,,,,
04/03/2017,10.3015,10.2899,10.2571,10.2249,10.2018,10.2420,10.2933,,,,
04/04/2017,10.3015,10.2919,,10.2249,,,,,,,
04/05/2017,10.3054,10.2937,10.2610,10.2286,10.2055,10.2456,10.2970,,,,
04/06/2017,10.3072,10.2955,10.2627,10.2303,10.2074,10.2474,10.2989,,,,
04/07/2017,10.3090,10.2973,10.2644,10.2321,10.2091,10.2492,10.3006,,,,
04/08/2017,10.309,10.2991,,10.2321,,,,,,,
04/09/2017,10.309,10.3009,,10.2321,,,,,,,
04/10/2017,10.3144,10.3027,10.2699,10.2374,10.2143,10.2545,10.3059,,,,
04/11/2017,10.3163,10.3047,10.2717,10.2392,10.2161,10.2564,10.3078,,,,
04/12/2017,10.3182,10.3066,10.2735,10.2411,10.2180,10.2583,10.3097,,,,
04/13/2017,10.3201,10.3084,10.2753,10.2429,10.2199,10.2602,10.3115,,,,
04/14/2017,10.32,10.3102,,10.2429,,,,,,,
04/15/2017,10.32,10.3120,,10.2429,,,,,,,
04/16/2017,10.32,10.3139,,10.2429,,,,,,,
04/17/2017,10.3274,10.3157,10.2824,10.2500,10.2271,10.2674,10.3188,,,,
04/18/2017,10.3292,10.3175,10.2843,10.2518,10.2289,10.2692,10.3206,,,,
04/19/2017,10.3310,10.3193,10.2861,10.2536,10.2306,10.2710,10.3224,,,,
04/20/2017,10.3328,10.3211,10.2879,10.2554,10.2324,10.2728,10.3242,,,,
04/21/2017,10.3347,10.3229,10.2897,10.2571,10.2342,10.2746,10.3260,,,,
04/22/2017,10.3346,10.3247,,10.2571,,,,,,,
04/23/2017,10.3346,10.3265,10.9862,10.2571,,,,,,,
04/24/2017,10.3401,10.3284,10.2950,10.2624,10.2397,10.2800,10.3315,,,,
04/25/2017,10.3419,10.3302,10.2968,10.2642,10.2416,10.2818,10.3333,,,,
04/26/2017,10.3437,10.3320,10.2986,10.2660,10.2433,10.2836,10.3351,,,,
04/27/2017,10.3454,10.3338,10.3004,10.2677,10.2451,10.2854,10.3369,,,,
04/28/2017,10.3473,10.3356,10.3022,10.2695,10.2469,10.2872,10.3387,,,,
04/29/2017,10.3473,10.3376,,10.2695,,,,,,,
04/30/2017,10.3473,10.3394,,10.2695,,,,,,,
05/01/2017,10.3473,10.3412,,10.2695,,,,,,,
05/02/2017,10.3546,10.3430,10.3093,10.2767,10.2545,10.2946,10.3464,,,,
05/03/2017,10.3564,10.3449,10.3111,10.2784,10.2563,10.2964,10.3482,,,,
05/04/2017,10.3583,10.3467,10.3129,10.2802,10.2580,10.2982,10.3500,,,,
05/05/2017,10.3601,10.3486,10.3148,10.2820,10.2599,10.3001,10.3518,10.0000,,,
05/06/2017,10.3601,10.3503,,10.2820,,,,,,,
05/07/2017,10.3601,10.3521,,10.2820,,,,,,,
05/08/2017,10.3655,10.3539,10.3202,10.2873,10.2652,10.3055,10.3572,10.0000,,,
05/09/2017,10.3674,10.3558,10.3220,10.2891,10.2670,10.3072,10.3590,10.0000,,,
05/10/2017,10.3673,10.3577,,10.2891,,,,,,,
05/11/2017,10.3710,10.3594,10.3255,10.2927,10.2706,10.3108,10.3627,10.0000,,,
05/12/2017,10.3729,10.3613,10.3274,10.2945,10.2725,10.3126,10.3645,10.0000,,,
05/13/2017,10.3729,10.3631,,10.2945,,,,,,,
05/14/2017,10.3729,10.3650,,10.2945,,,,,,,
05/15/2017,10.3783,10.3668,10.3329,10.2999,,10.3183,10.3700,10,,,
05/16/2017,10.3802,10.3687,10.3348,10.3017,10.2801,10.3201,10.3719,10.0018,,,
05/17/2017,10.3821,10.3706,10.3367,10.3035,10.2820,10.3219,10.3738,10.0036,,,
05/18/2017,10.3840,10.3725,10.3385,10.3054,10.2838,10.3239,10.3757,10.0055,,,
05/19/2017,10.3859,10.3744,10.3403,10.3073,10.2858,10.3257,10.3777,10.0072,,,
05/20/2017,10.3859,10.3763,,10.3073,,,,,,,
05/21/2017,10.3859,10.3781,,10.3072,,,,,,,
05/22/2017,10.3914,10.3799,10.3457,10.3126,10.2912,10.3312,10.3831,10.0121,,,
05/23/2017,10.3932,10.3817,10.3474,10.3144,10.2930,10.3330,10.3849,10.0137,,,
05/24/2017,10.3951,10.3836,10.3492,10.3163,10.2948,10.3348,10.3868,10.0152,,,
05/25/2017,10.3970,10.3854,10.3510,10.3181,10.2966,10.3366,10.3886,10.0167,,,
05/26/2017,10.3988,10.3872,10.3527,10.3199,10.2984,10.3384,10.3905,10.0181,,,
05/27/2017,10.3988,10.3891,,10.3199,,,,,,,
05/28/2017,10.3988,10.3909,,10.3199,,,,,,,
05/29/2017,10.4044,10.3927,10.3580,10.3253,10.3038,10.3438,10.3959,10.0225,,,
05/30/2017,10.4063,10.3945,10.3598,10.3272,,10.3457,10.3978,10.0239,,,
05/31/2017,10.4081,10.3963,10.3615,10.3290,10.3075,10.3475,10.3996,10.0253,,,
06/01/2017,10.4101,10.3983,10.3633,10.3309,10.3093,10.3494,10.4014,10.0269,,,
06/02/2017,10.4119,10.4001,10.3651,10.3327,10.3111,10.3512,10.4033,10.0278,,,
06/03/2017,10.4119,10.4020,,10.3327,,,,,,,
